Unnamed: 0,time,event_type,side,is_goal,location,bodypart
7228,9,2,1,0,,
7229,9,1,1,0,11.0,3.0
7231,13,3,2,0,,
7233,15,1,1,0,3.0,3.0
7246,35,3,2,0,,
7248,35,1,1,0,3.0,3.0
7249,35,2,1,0,,
7250,36,1,1,0,3.0,3.0
7261,44,2,1,0,,
7262,44,1,1,0,15.0,3.0
7278,50,2,1,0,,
7279,50,1,1,0,12.0,3.0
7360,23,3,2,0,,
7362,24,1,1,0,3.0,3.0
7366,26,2,1,0,,
7367,26,1,1,0,3.0,3.0
7501,53,3,2,0,,
7504,54,1,1,0,3.0,3.0
7505,55,1,2,0,3.0,3.0
7519,65,2,1,0,,
7520,65,1,1,0,3.0,3.0
7540,81,3,2,0,,
7542,82,1,1,0,3.0,3.0
7549,90,3,2,0,,
7552,90,1,1,0,3.0,3.0
7571,13,2,1,0,,
7572,15,1,1,0,3.0,3.0
7592,28,3,2,0,,
7594,28,1,1,0,3.0,3.0
7598,31,2,1,0,,
7599,32,1,1,0,3.0,3.0
7686,26,1,1,0,15.0,1.0
7688,28,1,1,0,3.0,3.0
7689,30,2,1,0,,
7690,31,1,1,0,3.0,3.0
7729,72,2,1,0,,
7730,73,1,1,0,3.0,3.0
7753,89,3,2,0,,
7755,90,1,1,1,3.0,3.0
7777,19,2,2,0,,
7778,20,1,2,0,13.0,3.0
7784,24,2,2,0,,
7785,24,1,2,0,3.0,3.0
7833,58,2,1,0,,
7834,59,1,1,0,10.0,3.0
7840,63,3,2,0,,
7841,64,1,1,0,12.0,3.0
7847,68,2,2,0,,
7848,69,1,1,0,3.0,3.0
7852,72,3,2,0,,
7855,74,1,1,0,3.0,3.0
7940,57,3,2,0,,
7942,58,1,1,0,3.0,3.0
7969,72,2,2,0,,
7970,73,1,2,0,3.0,3.0
8011,8,2,2,0,,
8013,9,1,2,0,3.0,3.0
8015,10,2,1,0,,
8016,11,1,1,0,3.0,3.0
8027,18,2,1,0,,
8028,19,1,1,0,3.0,3.0
8033,26,1,1,0,3.0,1.0
8034,26,1,1,0,15.0,3.0
8044,36,2,1,0,,
8045,37,1,1,0,3.0,3.0
